अ,अ,आ,3
अ,आ,आ,3
अ,इ,ओ,3
अ,ई,ओ,3
अ,उ,ए,3
अ,ऊ,ए,3
अ,ऋ,अर्,3
अ,ॠ,अर्,3
अ,ऌ,अल्,3
अ,ए,ऐ,3
अ,ऐ,ऐ,3
अ,ओ,औ,3
अ,औ,औ,3
आ,अ,आ,3
आ,आ,आ,3
आ,इ,ओ,3
आ,ई,ओ,3
आ,उ,ए,3
आ,ऊ,ए,3
आ,ऋ,अर्,3
आ,ॠ,अर्,3
आ,ऌ,अल्,3
आ,ए,ऐ,3
आ,ऐ,ऐ,3
आ,ओ,औ,3
आ,औ,औ,3
इ,अ,य्,0
इ,आ,य्,0
इ,इ,ई,3
इ,ई,ई,3
इ,उ,य्,0
इ,ऊ,य्,0
इ,ऋ,य्,0
इ,ॠ,य्,0
इ,ऌ,य्,0
इ,ए,य्,0
इ,ऐ,य्,0
इ,ओ,य्,0
इ,औ,य्,0
ई,अ,य्,0
ई,आ,य्,0
ई,इ,ई,3
ई,ई,ई,3
ई,उ,य्,0
ई,ऊ,य्,0
ई,ऋ,य्,0
ई,ॠ,य्,0
ई,ऌ,य्,0
ई,ए,य्,0
ई,ऐ,य्,0
ई,ओ,य्,0
ई,औ,य्,0
उ,अ,व्,0
उ,आ,व्,0
उ,इ,व्,0
उ,ई,व्,0
उ,उ,ऊ,3
उ,ऊ,ऊ,3
उ,ऋ,व्,0
उ,ॠ,व्,0
उ,ऌ,व्,0
उ,ए,व्,0
उ,ऐ,व्,0
उ,ओ,व्,0
उ,औ,व्,0
ऊ,अ,व्,0
ऊ,आ,व्,0
ऊ,इ,व्,0
ऊ,ई,व्,0
ऊ,उ,ऊ,3
ऊ,ऊ,ऊ,3
ऊ,ऋ,व्,0
ऊ,ॠ,व्,0
ऊ,ऌ,व्,0
ऊ,ए,व्,0
ऊ,ऐ,व्,0
ऊ,ओ,व्,0
ऊ,औ,व्,0
ऋ,अ,र्,0
ऋ,आ,र्,0
ऋ,इ,र्,0
ऋ,ई,र्,0
ऋ,उ,र्,0
ऋ,ऊ,र्,0
ऋ,ऋ,ॠ,3
ऋ,ॠ,ॠ,3
ऋ,ऌ,र्,0
ऋ,ए,र्,0
ऋ,ऐ,र्,0
ऋ,ओ,र्,0
ऋ,औ,र्,0
ॠ,अ,र्,0
ॠ,आ,र्,0
ॠ,इ,र्,0
ॠ,ई,र्,0
ॠ,उ,र्,0
ॠ,ऊ,र्,0
ॠ,ऋ,ॠ,3
ॠ,ॠ,ॠ,3
ॠ,ऌ,र्,0
ॠ,ए,र्,0
ॠ,ऐ,र्,0
ॠ,ओ,र्,0
ॠ,औ,र्,0
ॡ,अ,ल्,0
ॡ,आ,ल्,0
ॡ,इ,ल्,0
ॡ,ई,ल्,0
ॡ,उ,ल्,0
ॡ,ऊ,ल्,0
ॡ,ऋ,ल्,0
ॡ,ॠ,ल्,0
ॡ,ऌ,ॠ,3
ॡ,ए,ल्,0
ॡ,ऐ,ल्,0
ॡ,ओ,ल्,0
ॡ,औ,ल्,0
ए,अ,एऽ,3
ए,आ,अ ,0
ए,इ,अ ,0
ए,ई,अ ,0
ए,उ,अ ,0
ए,ऊ,अ ,0
ए,ऋ,अ ,0
ए,ॠ,अ ,0
ए,ऌ,अ ,0
ए,ए,अ ,0
ए,ऐ,अ ,0
ए,ओ,अ ,0
ए,औ,अ ,0
ऐ,अ,आ ,0
ऐ,आ,अ ,0
ऐ,इ,अ ,0
ऐ,ई,अ ,0
ऐ,उ,अ ,0
ऐ,ऊ,अ ,0
ऐ,ऋ,अ ,0
ऐ,ॠ,अ ,0
ऐ,ऌ,अ ,0
ऐ,ए,अ ,0
ऐ,ऐ,अ ,0
ऐ,ओ,अ ,0
ऐ,औ,अ ,0
ओ,अ,ओऽ,3
ओ,आ,आ ,0
ओ,इ,आ ,0
ओ,ई,आ ,0
ओ,उ,आ ,0
ओ,ऊ,आ ,0
ओ,ऋ,आ ,0
ओ,ॠ,आ ,0
ओ,ऌ,आ ,0
ओ,ए,आ ,0
ओ,ऐ,आ ,0
ओ,ओ,आ ,0
ओ,औ,आ ,0
औ,अ,आ ,0
औ,आ,आ ,0
औ,इ,आ ,0
औ,ई,आ ,0
औ,उ,आ ,0
औ,ऊ,आ ,0
औ,ऋ,आ ,0
औ,ॠ,आ ,0
औ,ऌ,आ ,0
औ,ए,आ ,0
औ,ऐ,आ ,0
औ,ओ,आ ,0
औ,औ,आ ,0
क्,अ,ग्,0
क्,आ,ग्,0
क्,इ,ग्,0
क्,ई,ग्,0
क्,उ,ग्,0
क्,ऊ,ग्,0
क्,ऋ,ग्,0
क्,ॠ,ग्,0
क्,ऌ,ग्,0
क्,ए,ग्,0
क्,ऐ,ग्,0
क्,ओ,ग्,0
क्,औ,ग्,0
क्,क्,क्,0
क्,ख्,क्,0
क्,ग्,ग्,0
क्,घ्,ग्,0
क्,ङ्,ङ्,0
क्,च्,क्,0
क्,छ्,क्,0
क्,ज्,ग्,0
क्,झ्,ग्,0
क्,ञ्,ङ्,0
क्,ट्,क्,0
क्,ठ्,क्,0
क्,ड्,ग्,0
क्,ढ्,ग्,0
क्,ण्,ङ्,0
क्,त्,क्,0
क्,थ्,क्,0
क्,द्,ग्,0
क्,ध्,ग्,0
क्,न्,ङ्,0
क्,प्,क्,0
क्,फ्,क्,0
क्,ब्,ग्,0
क्,भ्,ग्,0
क्,म्,ङ्,0
क्,य्,ग्,0
क्,र्,ग्,0
क्,ल्,ग्,0
क्,व्,ग्,0
क्,श्,क्,0
